,출발시간,목적지,운항편/항공사,터미널,체크인 카운터,탑승구,출발현황,운항속보
54,00시35분,아부다비 (AUH),XY3873플라이나스,T1,C23-C35,46.0, 출발 ,
55,00시40분,도하 (DOH),QR859카타르항공,T1,D25-D34,40.0, 출발 ,-
56,00시40분,도하 (DOH),AT9735로얄 에어 모로코,T1,D25-D34,40.0, 출발 ,
57,00시40분,도하 (DOH),OZ6889아시아나항공,T1,D25-D34,40.0, 출발 ,
58,00시45분,클라크필드 (CRK),Z25039필리핀에어아시아,T1,F01-F19,115.0, 출발 ,-
59,01시08분,암스테르담 (AMS),KL856케에엘엠네덜란드항공,T2,E19-F05,253.0, 출발 ,-
60,01시08분,암스테르담 (AMS),KE5925대한항공,T2,E19-F05,253.0, 출발 ,
61,01시08분,암스테르담 (AMS),AF8421에어 프랑스,T2,E19-F05,253.0, 출발 ,
62,01시44분,두옹 당(푸ㅤㄲㅝㄱ) (PQC),VJ975비엣젯항공,T1,E27-E29,42.0, 출발 ,-
63,01시51분,나트랑 (CXR),VJ839비엣젯항공,T1,E30-E34,12.0, 출발 ,-
64,02시12분,양곤 (RGN),8M802미얀마국제항공,T1,H31-H34,32.0, 출발 ,-
65,00시00분,두바이 (DXB),EK323Y에미레이트항공,T1,M01-M10,43.0, 출발 ,-
66,00시00분,두바이 (DXB),KE5951Y대한항공,T1,M01-M10,43.0, 출발 ,
67,00시03분,상하이/푸동 (PVG),ZE871Y이스타항공,T1,F07-F18,122.0, 출발 ,-
68,00시05분,다낭 (DAD),RS511Y에어서울,T1,D01-D05,101.0, 출발 ,-
69,00시05분,다낭 (DAD),OZ9671Y아시아나항공,T1,D01-D05,101.0, 출발 ,
70,00시08분,쿠알라룸푸르 (KUL),D7509에어아시아엑스,T1,F19-F28,109.0, 출발 ,-
71,00시12분,정저우 (CGO),ZE853이스타항공,T1,F07-F18,128.0, 출발 ,-
72,00시21분,쿠알라룸푸르 (KUL),MH039말레이시아 에어라인스,T1,M11-M16,26.0, 출발 ,-
73,00시21분,쿠알라룸푸르 (KUL),KE5669대한항공,T1,M11-M16,26.0, 출발 ,
74,00시25분,다낭 (DAD),QH485뱀부 항공,T1,B11-B15,41.0, 출발 ,-
75,00시27분,아부다비 (AUH),EY873에티하드 항공,T1,C23-C35,46.0, 출발 ,-
76,00시27분,아부다비 (AUH),SV6775사우디 아라비안 항공,T1,C23-C35,46.0, 출발 ,
77,00시27분,아부다비 (AUH),KE7901대한항공,T1,C23-C35,46.0, 출발 ,
78,00시27분,아부다비 (AUH),MS8089이집트항공,T1,C23-C35,46.0, 출발 ,
79,00시27분,아부다비 (AUH),HM5377세이셸항공,T1,C23-C35,46.0, 출발 ,
80,00시27분,아부다비 (AUH),JU7574에어세르비아,T1,C23-C35,46.0, 출발 ,
81,00시27분,아부다비 (AUH),AZ5689알리탈리아,T1,C23-C35,46.0, 출발 ,
82,00시27분,아부다비 (AUH),WY5873오만항공,T1,C23-C35,46.0, 출발 ,
83,00시27분,아부다비 (AUH),RJ3632로얄 요르단 항공,T1,C23-C35,46.0, 출발 ,
84,00시27분,아부다비 (AUH),XY3873플라이나스,T1,C23-C35,46.0, 출발 ,
85,00시27분,아부다비 (AUH),OZ6971아시아나항공,T1,C23-C35,46.0, 출발 ,
86,00시30분,방콕/돈므앙 (DMK),XJ703타이에어아시아엑스,T1,F19-F26,111.0, 출발 ,-
87,00시32분,이스탄불 (IST),TK091터키항공,T1,E09-E18,22.0, 출발 ,-
88,00시32분,이스탄불 (IST),OZ6931아시아나항공,T1,E09-E18,22.0, 출발 ,
89,00시35분,하바로프스크 (KHV),HZ5751오로라항공,T1,D21-D27,32.0, 출발 ,-
90,00시35분,하바로프스크 (KHV),SU5751아에로플로트 러시아항공,T1,D21-D27,32.0, 출발 ,
91,00시35분,하바로프스크 (KHV),KE5993대한항공,T1,D21-D27,32.0, 출발 ,
92,00시50분,알마티 (ALA),KC960에어 아스타나,T1,E04-E08,47.0, 출발 ,-
93,00시50분,알마티 (ALA),OZ6965아시아나항공,T1,E04-E08,47.0, 출발 ,
94,00시50분,알마티 (ALA),CX6230캐세이패시픽항공,T1,E04-E08,47.0, 출발 ,
95,00시52분,도하 (DOH),QR859카타르항공,T1,D25-D34,40.0, 출발 ,-
96,00시52분,도하 (DOH),OZ6889아시아나항공,T1,D25-D34,40.0, 출발 ,
97,00시52분,도하 (DOH),AT9735로얄 에어 모로코,T1,D25-D34,40.0, 출발 ,
98,00시54분,볼레(아디스아바바) (ADD),ET673에티오피아항공,T1,E19-E26,21.0, 출발 ,-
99,01시06분,암스테르담 (AMS),KL856케에엘엠네덜란드항공,T2,E19-F05,253.0, 출발 ,-
100,01시06분,암스테르담 (AMS),KE5925대한항공,T2,E19-F05,253.0, 출발 ,
101,01시06분,암스테르담 (AMS),AF8421에어 프랑스,T2,E19-F05,253.0, 출발 ,
102,01시17분,마닐라 (MNL),5J187세부퍼시픽항공,T1,J01-J08,113.0, 출발 ,-
103,02시02분,나트랑 (CXR),VJ839비엣젯항공,T1,E30-E34,121.0, 출발 ,-
104,02시04분,두옹 당(푸ㅤㄲㅝㄱ) (PQC),VJ975비엣젯항공,T1,E27-E29,119.0, 출발 ,-
105,00시05분,울란바토르 (ULN),OM306몽골항공,T1,D19-D23,24.0, 출발 ,-
106,00시12분,두바이 (DXB),EK323Y에미레이트항공,T1,M01-M18,43.0, 출발 ,-
107,00시12분,두바이 (DXB),KE5951Y대한항공,T1,M01-M18,43.0, 출발 ,
108,00시17분,정저우 (CGO),CZ8130중국남방항공,T1,J09-J18,108.0, 출발 ,-
109,00시19분,선전 (SZX),BX319Y에어부산,T1,L19-L22,107.0, 출발 ,-
110,00시20분,다낭 (DAD),QH485뱀부 항공,T1,B11-B15,45.0, 출발 ,-
111,00시25분,쿠알라룸푸르 (KUL),MH039말레이시아 에어라인스,T1,M11-M16,26.0, 출발 ,-
112,00시25분,쿠알라룸푸르 (KUL),KE5669대한항공,T1,M11-M16,26.0, 출발 ,
113,00시26분,상하이/푸동 (PVG),ZE871Y이스타항공,T1,F07-F18,127.0, 출발 ,-
114,00시29분,방콕/돈므앙 (DMK),XJ703타이에어아시아엑스,T1,F21-F28,111.0, 출발 ,-
115,00시31분,상하이/푸동 (PVG),CZ370Y중국남방항공,T1,J06-J18,109.0, 출발 ,-
116,00시31분,상하이/푸동 (PVG),KE5809Y대한항공,T1,J06-J18,109.0, 출발 ,
117,00시31분,상하이/푸동 (PVG),MU3500Y중국동방항공,T1,J06-J18,109.0, 출발 ,
118,00시45분,아부다비 (AUH),EY873에티하드 항공,T1,C23-C35,46.0, 출발 ,-
119,00시45분,아부다비 (AUH),KE7901대한항공,T1,C23-C35,46.0, 출발 ,
120,00시45분,아부다비 (AUH),RJ3632로얄 요르단 항공,T1,C23-C35,46.0, 출발 ,
121,00시45분,아부다비 (AUH),JU7574에어세르비아,T1,C23-C35,46.0, 출발 ,
122,00시45분,아부다비 (AUH),WY5873오만항공,T1,C23-C35,46.0, 출발 ,
123,00시45분,아부다비 (AUH),AZ5689알리탈리아,T1,C23-C35,46.0, 출발 ,
124,00시45분,아부다비 (AUH),HM5377세이셸항공,T1,C23-C35,46.0, 출발 ,
125,00시45분,아부다비 (AUH),SV6775사우디 아라비안 항공,T1,C23-C35,46.0, 출발 ,
126,00시45분,아부다비 (AUH),OZ6971아시아나항공,T1,C23-C35,46.0, 출발 ,
127,00시45분,아부다비 (AUH),XY3873플라이나스,T1,C23-C35,46.0, 출발 ,
128,00시45분,아부다비 (AUH),MS8089이집트항공,T1,C23-C35,46.0, 출발 ,
129,00시48분,도하 (DOH),QR859카타르항공,T1,D25-D34,41.0, 출발 ,-
